id,Media,Date,Title,Author,Description
114,novel,1999,Timeline,Michael Crichton,Historians travel to and become stuck in the Middle Ages.
115,novel,1999,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,"Hogwarts student Hermione Granger acquires a Time-Turner, a magical necklace that allows her to travel back in time on a daily basis in order to take an unusually large courseload. The device is later used to manipulate the events of a single night to aid a wrongly accused convict's escape."
116,novel,2000,The Light of Other Days,"Arthur C. Clarke, Stephen Baxter","Wormhole-based ""time viewer"" can observe people and events from any point throughout time and space."
117,novel,2000,1632,Eric Flint,West-Virginian town is taken back to the Thirty Years' War in Germany and gives them insight to the future.
118,novel,2001,The Fiery Cross,Diana Gabaldon,"Time-travel romance, the fifth of the Outlander series. Time travel from the 20th century to 18th century."
119,novel,2001,The Chronoliths,Robert Charles Wilson,"Monuments from the future appear in the early 21st century, precipitating a global political collapse."
120,novel,2001,Thief of Time,Terry Pratchett,Unfreezing and freezing of time using a small mechanism.
121,novel,2001,Paratime,H. Beam Piper,Shorts stories of lateral time movement and alternate universes.
122,novel,2002,Meridian,John Schettler,"ForeWord Magazine Silver Medal Winner for Sci-fi Book of The Year, 2002. The first ever experiment in time travel sets off a ""Time War"" where opposing sides struggle to alter key events on the Meridians of Time. Five book series: Meridian, Nexus Point, Touchstone, Anvil of Fate, Golem 7."
123,novel,2002,Night Watch,Terry Pratchett,Character interacts with a younger version of himself.
124,novel,2002,"Counting Up, Counting Down",Harry Turtledove,Time travel with the twin perspectives of a man who travels back in time for relationship stability.
125,novel,2002,Guardian,Joe Haldeman,"Born in 1858, Rosa journeys from the Civil War South to the Northeast, marries a villainous husband, and flees with their 14-year-old boy Daniel for the Klondike Gold Rush, all before learning that the talking,shapeshifting raven she sometimes encounters is a Guardian. Raven allows her to journey through space and time, then restores her to her ""present"" in 1898, now an adjacent universe, with comic and romantic results."
126,novel,2002,Thief!,Malorie Blackman,A huge storm traps a girl who is accused of being a thief and takes her into the future.
127,novel,2002,Kaleidoscope Century,John Barnes,Takes place on Mars. A man has a virus that puts him to sleep every 15 years and he wakes 10 younger.
128,novel,2002,The Eyre Affair,Jasper Fforde,Sleuth Thursday Next gets caught in overlapping vortices of time and alternate reality as a villain tries to eradicate a literary classic.
129,novel,2003-ongoing,Haruhi Suzumiya,Nagaru Tanigawa,"Two characters, Mikuru Asahina and Fujiwara, are time travelers from the future and many parts of the storyline involve time traveling."
130,novel,2003,The Time Traveler's Wife,Audrey Niffenegger,"Man with a rare genetic disorder unpredictably travels in time, living his life out of sequence."
131,novel,2004,Axis of Time,John Birmingham,A naval task-force from 2021 is accidentally sent back to the battle of Midway.
132,novel,2004,The Spark of God (orig. title:L'Éclat de Dieu),Romain Sardou,Describes the First Crusade and the beginning of the Knights Templar in the future.
133,novel,2004,Pen Pal,Lou Antonelli,Loops in a man's life told through a narrative that goes from future to present.
134,novel,2004–2005,Warcraft: War of the Ancients Trilogy,Richard A. Knaak,"A human, a dragon and an orc travel back in time to help save Azeroth from the Burning Legion."
135,novel,2005,A Breath of Snow and Ashes,Diana Gabaldon,"Time-travel romance, the sixth of the Outlander series. Time travel from the 20th century to 18th century."
136,novel,2005,Mammoth,John Varley,Multibillionaire clones a mammoth and sends it back in time.
137,novel,2006,Sojourn,Jana G. Oliver,A Time Rover from 2057 returns to 1888 London in search of a missing time tourist only to be caught in the Jack the Ripper murders and the history-changing plots of a mysterious group of shape-shifters called Transitives.
138,novel,2006,The Plot to Save Socrates,Paul Levinson,Time travelers from 2042 to prevent Socrates from consuming hemlock.
139,novel,2006,Artemis Fowl: The Lost Colony,Eoin Colfer,"Fifth book in the Artemis Fowl series. Artemis must pair up with his old comrade Captain Holly Short to track down the missing demon, before the spell that holds a demon island, Hybras, in limbo dissolves completely and the lost demon colony returns violently to Earth. Artemis also ends up saving Holly by manipulating time."
140,novel,2007,Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,"Characters participate in ""Party Crashing"" which can, under certain conditions, cause time travel."
141,novel,2007,Meet The Robinsons,Steve Anderson,Principal character meets his future son and then travels to the future to meet his family.
142,novel,2007,The Accidental Time Machine,Joe Haldeman,"A research assistant at the Massachusetts Institute of Technology accidentally creates a forward-traveling time machine. Each leap forward in time, which he takes to get out of trouble, lands him each time in deeper trouble."
143,novel,2007,The Lifehouse Trilogy,Spider Robinson,"3 books (Mindkiller (1982), Time Pressure (1988), LifeHouse (1997)) chronicle the story of visitors from Earth's future visiting the past to essentially harvest souls."
